marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate
HPN,ADAM9,AND,18,0.32137479186058043,0.47727275,0.4862653,0.045881215,0.19555555,0.3564912,lung,pulmonary alveolar type 2 cell,0.3564912,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.43139154,0.12078154
FOLH1,TMEFF2,AND,18,0.06890645474195481,0.22927979,0.3389352,0.010478385,0.5777778,0.23333333,prostate gland,luminal cell of prostate epithelium,0.10989011,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.21880141,0.119389676
PSCA,KLK3,AND,18,0.068693021312356,0.16233766,0.25243744,0.08940267,0.26732674,0.35897437,prostate gland,luminal cell of prostate epithelium,0.05190035,exocrine gland,duct epithelial cell,4,3825,3,10277,0.07293499,0.11043731
HPN,TMPRSS2,AND,18,0.5386032640933991,0.68848485,0.66942066,0.069638334,0.31111112,0.5831559,pancreas,pancreatic acinar cell,0.5831559,pancreas,pancreatic acinar cell,2,5482,2,5482,0.61884654,0.10532898
STEAP4,HPN,AND,18,0.3632941275835037,0.57259184,0.5646272,0.045073643,0.2888889,0.47576505,lung,pulmonary alveolar type 2 cell,0.47576505,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.5275182,0.09682679
TMEFF2,ADAM9,AND,18,0.054425865039229394,0.24669775,0.2969874,0.010300703,0.32,0.20769231,prostate gland,luminal cell of prostate epithelium,0.14990512,musculature,epithelial cell,2,48,3,10277,0.23639706,0.09679264
STEAP1,MME,AND,18,0.0270750742405653,0.26813388,0.284466,0.144636,0.42574257,0.37638554,prostate gland,luminal cell of prostate epithelium,0.18074721,bladder organ,bladder urothelial cell,6,26663,3,10277,0.12349787,0.08738667
KLK2,MUC1,AND,18,0.017578347679227592,0.111409426,0.15122728,0.08452016,0.25478926,0.24848485,prostate gland,basal cell of prostate epithelium,0.024487277,exocrine gland,duct epithelial cell,4,3825,3,3440,0.026889265,0.08692215
HPN,NECTIN4,AND,18,0.10085470229387283,0.20947155,0.22604595,0.012681505,0.0625,0.12562323,uterus,epithelial cell of uterus,0.12562323,uterus,epithelial cell of uterus,2,1319,2,1319,0.19679005,0.08384833
FOLH1,CD276,AND,18,0.10306161865592003,0.24660634,0.24350794,0.019478954,0.122112215,0.20385543,prostate gland,luminal cell of prostate epithelium,0.1689166,tongue,salivary gland cell,2,734,3,10277,0.22712737,0.07768974
STEAP1,ERBB2,AND,18,0.2581196680665016,0.43768996,0.45760217,0.18580352,0.34653464,0.50120485,prostate gland,luminal cell of prostate epithelium,0.37505275,lung,respiratory goblet cell,4,978,3,10277,0.25188643,0.06263721
HPN,CD46,AND,18,0.5066778749227524,0.6767677,0.65525824,0.090627685,0.28,0.61627233,pancreas,pancreatic acinar cell,0.61627233,pancreas,pancreatic acinar cell,2,5482,2,5482,0.58614004,0.060495377
TMEFF2,ERBB2,AND,18,0.052700923010706904,0.1616286,0.21429911,0.010587981,0.045454547,0.19951807,prostate gland,luminal cell of prostate epithelium,0.104032815,lung,club cell,4,1722,3,10277,0.15104063,0.05759579
PSCA,HPN,AND,18,0.04129261039197445,0.13708514,0.18381293,0.01654195,0.08250825,0.08974359,prostate gland,luminal cell of prostate epithelium,0.082114734,stomach,epithelial cell,3,1596,3,10277,0.12054319,0.054970406
HPN,EPCAM,AND,18,0.5055243521928787,0.66570514,0.6573902,0.08326644,0.27555555,0.61259353,pancreas,pancreatic acinar cell,0.61259353,pancreas,pancreatic acinar cell,2,5482,2,5482,0.5824387,0.053111613
FOLH1,TMPRSS2,AND,18,0.4732600957155228,0.73508483,0.7009976,0.094516516,0.52444446,0.68512094,small intestine,enterocyte of epithelium proper of duodenum,0.68512094,small intestine,enterocyte of epithelium proper of duodenum,4,13488,4,13488,0.6405683,0.04996389
STEAP4,TMPRSS2,AND,18,0.6284967541694642,0.75992846,0.754483,0.20920548,0.4977778,0.7106261,lung,pulmonary alveolar type 2 cell,0.7106261,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.55072296,0.04930234
STEAP2,ADAM9,AND,18,0.563034200668335,0.6241026,0.650079,0.18623257,0.36,0.62361443,prostate gland,luminal cell of prostate epithelium,0.57978976,bladder organ,bladder urothelial cell,6,26663,3,10277,0.43787003,0.044312835
STEAP1,CD276,AND,18,0.15082979649305345,0.2957616,0.29463065,0.06878911,0.14851485,0.25263157,respiratory system,fibroblast,0.25263157,respiratory system,fibroblast,5,1671,5,1671,0.22697248,0.04313001
HPN,ERBB2,AND,18,0.16982355564832688,0.34968683,0.36513492,0.044036105,0.1140625,0.30763274,pancreas,pancreatic acinar cell,0.30763274,pancreas,pancreatic acinar cell,2,5482,2,5482,0.3056507,0.042054087
STEAP2,MME,AND,18,0.0270750742405653,0.28259063,0.30743214,0.17256084,0.46534654,0.46024096,prostate gland,luminal cell of prostate epithelium,0.24194302,small intestine,enterocyte of epithelium proper of ileum,3,6475,3,10277,0.11002979,0.04064761
STEAP2,CD276,AND,18,0.1920289844274521,0.28823954,0.31084415,0.07669556,0.1650165,0.27228916,prostate gland,luminal cell of prostate epithelium,0.25263157,respiratory system,fibroblast,5,1671,3,10277,0.21154398,0.035607964
TMEFF2,NECTIN4,AND,18,0.027599067613482478,0.111257166,0.13488968,0.0036574723,0.054545455,0.08289157,prostate gland,luminal cell of prostate epithelium,0.07631579,tongue,taste receptor cell,2,29,3,10277,0.10759969,0.034941375
TMPRSS2,EPCAM,AND,18,0.749988853931427,0.92111707,0.87914777,0.33061022,0.59292036,0.8868093,colon,enterocyte of epithelium of large intestine,0.8868093,colon,enterocyte of epithelium of large intestine,3,3666,3,3666,0.59050685,0.034307778
HPN,CD276,AND,18,0.1206500455737114,0.24428904,0.24588452,0.02279906,0.07434944,0.21360898,pancreas,pancreatic acinar cell,0.21360898,pancreas,pancreatic acinar cell,2,5482,2,5482,0.22148998,0.03068006
TMEFF2,CD276,AND,18,0.01931382790207863,0.07210393,0.1322133,0.0041788844,0.08444444,0.101686746,prostate gland,luminal cell of prostate epithelium,0.05,tongue,taste receptor cell,2,29,3,10277,0.06792505,0.022103932
DLL3,KLK3,AND,18,0.0,0.018620688,0.030348752,0.0015210838,0.053333335,0.0028248588,colon,large intestine goblet cell,0.0028248588,colon,large intestine goblet cell,3,961,3,961,0.017099604,0.01579583
DLL3,KLK2,AND,18,0.0,0.018620688,0.030348752,0.0015530249,0.053333335,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.017067663,0.01293887
TMPRSS2,CD46,AND,18,0.7728453695774078,0.9036878,0.89184594,0.33922404,0.59292036,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.56446373,0.008950949
STEAP2,ERBB2,AND,18,0.3021179631352425,0.44418347,0.49206835,0.19179179,0.39655173,0.61060244,prostate gland,luminal cell of prostate epithelium,0.43589425,bladder organ,bladder urothelial cell,6,26663,3,10277,0.2523917,0.008289218
GRPR,KLK2,AND,18,0.0,0.0,0.017360644,0.0,0.008888889,0.0077220076,prostate gland,endothelial cell,0.0,adipose tissue,macrophage,5,14886,3,1202,0.0,0.0
GRPR,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,4.7659898e-05,exocrine gland,luminal epithelial cell of mammary gland,4.7659898e-05,exocrine gland,luminal epithelial cell of mammary gland,2,15332,2,15332,0.0,-4.7659898e-05
STEAP1,DLL3,AND,18,0.0,0.015565135,0.028684357,0.0033957423,0.04888889,0.015826922,uterus,epithelial cell of uterus,0.015826922,uterus,epithelial cell of uterus,2,1319,2,1319,0.012169393,-0.00026178733
