marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate
GRPR,KLK3,AND,18,0.0,0.0,0.017360644,0.0,0.008888889,0.010256411,prostate gland,luminal cell of prostate epithelium,0.00029708853,exocrine gland,progenitor cell of mammary luminal epithelium,2,1694,3,10277,0.0,-0.00029708853
GRPR,DLL3,AND,18,0.0,0.0,0.0007706036,0.0,0.0,0.0005586592,uterus,epithelial cell of uterus,0.0005586592,uterus,epithelial cell of uterus,2,1319,2,1319,0.0,-0.0005586592
KLK3,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.0017367142,prostate gland,basal cell of prostate epithelium,0.00070921984,tongue,salivary gland cell,2,734,3,3440,0.0,-0.00070921984
KLK2,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.00070921984,tongue,salivary gland cell,0.00070921984,tongue,salivary gland cell,2,734,2,734,0.0,-0.00070921984
KLK3,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.003717472,0.01010101,prostate gland,basal cell of prostate epithelium,0.00078864355,eye,myeloid leukocyte,2,644,3,3440,0.0,-0.00078864355
STEAP2,DLL3,AND,18,0.0,0.018620688,0.030348752,0.0027172344,0.053333335,0.019480519,pancreas,type B pancreatic cell,0.019480519,pancreas,type B pancreatic cell,2,102,2,102,0.015903454,-0.0008598305
GRPR,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.0011561909,pancreas,pancreatic acinar cell,0.0011561909,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.0011561909
CEACAM5,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.0016778524,respiratory system,serous cell of epithelium of trachea,0.0016778524,respiratory system,serous cell of epithelium of trachea,2,317,2,317,0.0,-0.0016778524
PSCA,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0011114199,0.006060606,prostate gland,basal cell of prostate epithelium,0.0018872252,bladder organ,bladder urothelial cell,6,26663,3,3440,0.0,-0.0018872252
TMPRSS2,DLL3,AND,18,0.0,0.018620688,0.029847605,0.0016811471,0.026666667,0.020636328,bladder organ,bladder urothelial cell,0.020636328,bladder organ,bladder urothelial cell,6,26663,6,26663,0.016939541,-0.002015639
CEACAM5,KLK2,AND,18,0.0,0.0,0.0029139381,0.0015625,0.013856813,0.015421687,prostate gland,luminal cell of prostate epithelium,0.0021276595,tongue,salivary gland cell,2,734,3,10277,-0.0015625,-0.0021276595
PSCA,SLC45A3,AND,18,0.06314102821052074,0.16233766,0.23246008,0.049117837,0.22442244,0.17179488,prostate gland,luminal cell of prostate epithelium,0.16450216,stomach,epithelial cell,3,1596,3,10277,0.11321983,-0.002164498
PSCA,GRPR,AND,18,0.0,0.0,0.007226827,0.0,0.0042643924,0.010120482,prostate gland,luminal cell of prostate epithelium,0.0023842903,pancreas,pancreatic acinar cell,2,5482,3,10277,0.0,-0.0023842903
FOLR1,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.003003003,lung,club cell,0.003003003,lung,club cell,4,1722,4,1722,0.0,-0.003003003
SLC45A3,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.0,0.0033898305,small intestine,paneth cell of epithelium of small intestine,0.0033898305,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.0033898305
SLC45A3,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.00027785497,0.0035396488,liver,hepatocyte,0.0035396488,liver,hepatocyte,4,7400,4,7400,0.0,-0.0035396488
SLC34A1,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.0038069016,tongue,stratified squamous epithelial cell,0.0038069016,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.0038069016
SLC45A3,GRPR,AND,18,0.0,0.0,0.0157075,0.0,0.0044444446,0.003973817,pancreas,pancreatic acinar cell,0.003973817,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.003973817
MSLN,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.0040963953,uterus,epithelial cell of uterus,0.0040963953,uterus,epithelial cell of uterus,2,1319,2,1319,0.0,-0.0040963953
SLC34A1,MUC1,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.005050505,prostate gland,basal cell of prostate epithelium,0.0046550543,uterus,epithelial cell of uterus,2,1319,3,3440,0.0,-0.0046550543
CD70,KLK3,AND,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.06889205,prostate gland,B cell,0.004854369,colon,large intestine goblet cell,3,961,2,75,0.0,-0.004854369
FOLH1,GRPR,AND,18,0.0,0.0,0.014840227,0.0,0.008888889,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184
CD70,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184
DLL3,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184
GRPR,CEACAM5,AND,18,0.0,0.0,0.0,0.0,0.0,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184
STEAP1,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.003717472,0.006060606,prostate gland,basal cell of prostate epithelium,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,3440,0.0,-0.0056818184
STEAP4,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0,0.00625,lymph node,endothelial cell,0.00625,lymph node,endothelial cell,4,126,4,126,0.0,-0.00625
GRPR,MSLN,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.008,ovary,glandular epithelial cell,0.008,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.008
MSLN,KLK2,AND,18,0.0,0.0,0.0043170834,0.00877949,0.08181818,0.12626262,prostate gland,basal cell of prostate epithelium,0.008292323,exocrine gland,duct epithelial cell,4,3825,3,3440,-0.00877949,-0.008292323
ERBB2,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.003717472,0.009813212,tongue,basal cell,0.009813212,tongue,basal cell,4,15214,4,15214,0.0,-0.009813212
NECTIN4,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0011114199,0.010151738,tongue,stratified squamous epithelial cell,0.010151738,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.010151738
TMPRSS2,TACSTD2,AND,18,0.7329230964183807,0.8844461,0.8665971,0.36478668,0.6017699,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.5196594,-0.010290742
ADAM9,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0013892748,0.010683761,eye,eye photoreceptor cell,0.010683761,eye,eye photoreceptor cell,3,1494,3,1494,0.0,-0.010683761
