marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,both_surface,on_frontier_all,on_frontier_surface,rank_surface
GRPR,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.0011561909,pancreas,pancreatic acinar cell,0.0011561909,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.0011561909,True,False,False,218
CEACAM5,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.0016778524,respiratory system,serous cell of epithelium of trachea,0.0016778524,respiratory system,serous cell of epithelium of trachea,2,317,2,317,0.0,-0.0016778524,True,False,False,219
PSCA,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0011114199,0.006060606,prostate gland,basal cell of prostate epithelium,0.0018872252,bladder organ,bladder urothelial cell,6,26663,3,3440,0.0,-0.0018872252,True,False,False,220
TMPRSS2,DLL3,AND,18,0.0,0.018620688,0.029847605,0.0016811471,0.026666667,0.020636328,bladder organ,bladder urothelial cell,0.020636328,bladder organ,bladder urothelial cell,6,26663,6,26663,0.016939541,-0.002015639,True,False,False,221
CEACAM5,KLK2,AND,18,0.0,0.0,0.0029139381,0.0015625,0.013856813,0.015421687,prostate gland,luminal cell of prostate epithelium,0.0021276595,tongue,salivary gland cell,2,734,3,10277,-0.0015625,-0.0021276595,False,False,False,222
PSCA,GRPR,AND,18,0.0,0.0,0.007226827,0.0,0.0042643924,0.010120482,prostate gland,luminal cell of prostate epithelium,0.0023842903,pancreas,pancreatic acinar cell,2,5482,3,10277,0.0,-0.0023842903,True,False,False,223
FOLR1,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.003003003,lung,club cell,0.003003003,lung,club cell,4,1722,4,1722,0.0,-0.003003003,True,False,False,224
SLC45A3,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.0,0.0033898305,small intestine,paneth cell of epithelium of small intestine,0.0033898305,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.0033898305,True,False,False,225
SLC45A3,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.00027785497,0.0035396488,liver,hepatocyte,0.0035396488,liver,hepatocyte,4,7400,4,7400,0.0,-0.0035396488,True,False,False,226
SLC34A1,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.0038069016,tongue,stratified squamous epithelial cell,0.0038069016,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.0038069016,True,False,False,227
SLC45A3,GRPR,AND,18,0.0,0.0,0.0157075,0.0,0.0044444446,0.003973817,pancreas,pancreatic acinar cell,0.003973817,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.003973817,True,False,False,228
MSLN,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.0040963953,uterus,epithelial cell of uterus,0.0040963953,uterus,epithelial cell of uterus,2,1319,2,1319,0.0,-0.0040963953,True,False,False,229
SLC34A1,MUC1,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.005050505,prostate gland,basal cell of prostate epithelium,0.0046550543,uterus,epithelial cell of uterus,2,1319,3,3440,0.0,-0.0046550543,True,False,False,230
CD70,KLK3,AND,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.06889205,prostate gland,B cell,0.004854369,colon,large intestine goblet cell,3,961,2,75,0.0,-0.004854369,False,False,False,231
FOLH1,GRPR,AND,18,0.0,0.0,0.014840227,0.0,0.008888889,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184,True,False,False,232
CD70,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184,True,False,False,233
DLL3,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184,True,False,False,234
GRPR,CEACAM5,AND,18,0.0,0.0,0.0,0.0,0.0,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.0056818184,True,False,False,235
STEAP1,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.003717472,0.006060606,prostate gland,basal cell of prostate epithelium,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,3440,0.0,-0.0056818184,True,False,False,236
STEAP4,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0,0.00625,lymph node,endothelial cell,0.00625,lymph node,endothelial cell,4,126,4,126,0.0,-0.00625,True,False,False,237
GRPR,MSLN,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.008,ovary,glandular epithelial cell,0.008,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.008,True,False,False,238
MSLN,KLK2,AND,18,0.0,0.0,0.0043170834,0.00877949,0.08181818,0.12626262,prostate gland,basal cell of prostate epithelium,0.008292323,exocrine gland,duct epithelial cell,4,3825,3,3440,-0.00877949,-0.008292323,False,False,False,239
ERBB2,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.003717472,0.009813212,tongue,basal cell,0.009813212,tongue,basal cell,4,15214,4,15214,0.0,-0.009813212,True,False,False,240
NECTIN4,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0011114199,0.010151738,tongue,stratified squamous epithelial cell,0.010151738,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.010151738,True,False,False,241
ADAM9,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0013892748,0.010683761,eye,eye photoreceptor cell,0.010683761,eye,eye photoreceptor cell,3,1494,3,1494,0.0,-0.010683761,True,False,False,242
TMEFF2,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637,True,False,False,243
STEAP2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.003717472,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637,True,False,False,244
GRPR,CD70,AND,18,0.0,0.0,0.00075075077,0.0,0.0,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637,True,False,False,245
KLK2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.00079176563,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637,False,False,False,246
TMPRSS2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0008335649,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637,True,False,False,247
FOLR1,KLK2,AND,18,0.0,0.0,0.0031364472,0.015699038,0.06896552,0.039518073,prostate gland,luminal cell of prostate epithelium,0.0125123225,exocrine gland,duct epithelial cell,4,3825,3,10277,-0.015699038,-0.0125123225,False,False,False,248
TACSTD2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0019449848,0.015104584,tongue,basal cell,0.015104584,tongue,basal cell,4,15214,4,15214,0.0,-0.015104584,True,False,False,249
STEAP2,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.015860096,tongue,stratified squamous epithelial cell,0.015860096,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.015860096,True,False,False,250
DLL3,FOLR1,AND,18,0.0,0.0,0.0,0.0,0.009090909,0.016666668,uterus,ciliated epithelial cell,0.016666668,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.016666668,True,False,False,251
SLC45A3,CD70,AND,18,0.0,0.0,0.0024291708,0.0,0.003125,0.016666668,uterus,ciliated epithelial cell,0.016666668,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.016666668,True,False,False,252
SLC45A3,DLL3,AND,18,0.0,0.016312998,0.028634945,0.0,0.031111112,0.033333335,uterus,ciliated epithelial cell,0.033333335,uterus,ciliated epithelial cell,2,317,2,317,0.016312998,-0.017020337,True,False,False,253
CD70,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.017045455,True,False,False,254
HPN,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.003717472,0.017343955,liver,hepatocyte,0.017343955,liver,hepatocyte,4,7400,4,7400,0.0,-0.017343955,True,False,False,255
STEAP4,GRPR,AND,18,0.0,0.0,0.015477929,0.0,0.008888889,0.019763978,pancreas,pancreatic acinar cell,0.019763978,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.019763978,True,False,False,256
CD70,FOLR1,AND,18,0.0,0.0,0.0,0.0,0.0019157088,0.020150987,uterus,ciliated epithelial cell,0.020150987,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.020150987,True,False,False,257
HPN,DLL3,AND,18,0.0,0.018620688,0.029146263,0.00039588282,0.026666667,0.03885317,uterus,epithelial cell of uterus,0.03885317,uterus,epithelial cell of uterus,2,1319,2,1319,0.018224806,-0.02023248,True,False,False,258
GRPR,MME,AND,18,0.0,0.0,0.007349967,0.0,0.0042643924,0.020833334,endocrine gland,neuro-medullary thymic epithelial cell,0.020833334,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.020833334,True,False,False,259
PSCA,CDH16,AND,18,0.0,0.0,0.0,0.0,0.00079176563,0.024218,tongue,stratified squamous epithelial cell,0.024218,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.024218,True,False,False,260
STEAP1,GRPR,AND,18,0.0,0.0,0.016913371,0.0,0.0044444446,0.025296006,pancreas,pancreatic acinar cell,0.025296006,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.025296006,True,False,False,261
DLL3,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.02631579,True,False,False,262
CD70,KLK2,AND,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.03125,prostate gland,B cell,0.02631579,tongue,taste receptor cell,2,29,2,75,0.0,-0.02631579,False,False,False,263
MME,DLL3,AND,18,0.0,0.0,0.0070775202,0.0016811471,0.020547945,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,-0.0016811471,-0.02631579,True,False,False,264
STEAP1,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.003717472,0.02631579,small intestine,fibroblast,0.02631579,small intestine,fibroblast,5,458,5,458,0.0,-0.02631579,True,False,False,265
TMEFF2,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.0,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.02631579,True,False,False,266
TMEFF2,DLL3,AND,18,0.0,0.0,0.022721665,0.0,0.04,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.02631579,True,False,False,267
STEAP2,CD70,AND,18,0.0,0.0,0.0024291708,0.0,0.0046875,0.02631579,small intestine,fibroblast,0.02631579,small intestine,fibroblast,5,458,5,458,0.0,-0.02631579,True,False,False,268
CD46,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0019449848,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.026515152,True,False,False,269
CD276,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.003717472,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.026515152,True,False,False,270
FOLH1,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.026515152,True,False,False,271
CD276,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.00055570994,0.02711963,uterus,ciliated epithelial cell,0.02711963,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.02711963,True,False,False,272
TMEFF2,CEACAM5,AND,18,0.0,0.0,0.00013071895,0.0,0.0017094017,0.030366562,lung,respiratory goblet cell,0.030366562,lung,respiratory goblet cell,4,978,4,978,0.0,-0.030366562,True,False,False,273
HPN,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.030927835,ovary,glandular epithelial cell,0.030927835,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.030927835,True,False,False,274
HPN,CEACAM5,AND,18,0.0,0.0,0.0022536397,0.0,0.005586592,0.03295474,lung,pulmonary alveolar type 1 cell,0.03295474,lung,pulmonary alveolar type 1 cell,4,3046,4,3046,0.0,-0.03295474,True,False,False,275
CEACAM5,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.03328036,tongue,stratified squamous epithelial cell,0.03328036,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.03328036,True,False,False,276
DLL3,MSLN,AND,18,0.0,0.0,0.00044091712,0.0,0.0011114199,0.033333335,uterus,ciliated epithelial cell,0.033333335,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.033333335,True,False,False,277
FOLH1,CD70,AND,18,0.0,0.0,0.0018038332,0.0,0.0015625,0.033333335,uterus,ciliated epithelial cell,0.033333335,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.033333335,True,False,False,278
CD70,MSLN,AND,18,0.0,0.0,0.0,0.0,0.0016528926,0.035075497,uterus,ciliated epithelial cell,0.035075497,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.035075497,True,False,False,279
FOLH1,DLL3,AND,18,0.0,0.014407726,0.02776555,0.0,0.053333335,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.014407726,-0.035592273,True,False,False,280
STEAP1,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.036471497,tongue,stratified squamous epithelial cell,0.036471497,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.036471497,True,False,False,281
EPCAM,DLL3,AND,18,0.0,0.016312998,0.029350867,0.0043202816,0.04888889,0.05348432,uterus,ciliated epithelial cell,0.05348432,uterus,ciliated epithelial cell,2,317,2,317,0.011992716,-0.037171323,True,False,False,282
MME,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.003717472,0.03787879,endocrine gland,neuro-medullary thymic epithelial cell,0.03787879,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.03787879,True,False,False,283
TMPRSS2,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.0046875,0.03846154,pancreas,B cell,0.03846154,pancreas,B cell,2,53,2,53,0.0,-0.03846154,True,False,False,284
STEAP4,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.0023094688,0.038539186,tongue,stratified squamous epithelial cell,0.038539186,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.038539186,True,False,False,285
HPN,CD70,AND,18,0.0,0.0,0.0013537125,0.0,0.0015625,0.038559817,uterus,ciliated epithelial cell,0.038559817,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.038559817,True,False,False,286
MSLN,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0016863407,0.041237112,ovary,glandular epithelial cell,0.041237112,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.041237112,True,False,False,287
FOLR1,CDH16,AND,18,0.0,0.0,0.0,0.0,0.03448276,0.041237112,ovary,glandular epithelial cell,0.041237112,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.041237112,True,False,False,288
SLC45A3,CEACAM5,AND,18,0.0,0.0,0.00060226955,0.0,0.0046189376,0.0433526,colon,intestinal crypt stem cell of colon,0.0433526,colon,intestinal crypt stem cell of colon,3,1703,3,1703,0.0,-0.0433526,True,False,False,289
GRPR,NECTIN4,AND,18,0.0,0.0,0.006778783,0.0,0.0,0.04377288,pancreas,pancreatic acinar cell,0.04377288,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.04377288,True,False,False,290
PSCA,CD70,AND,18,0.0,0.0,0.00075075077,0.0,0.003125,0.045454547,prostate gland,B cell,0.044060558,bladder organ,B cell,4,446,2,75,0.0,-0.044060558,True,False,False,291
CEACAM5,KLK3,AND,18,0.0,0.0,0.0029445258,0.0009578544,0.027713627,0.04488778,colon,large intestine goblet cell,0.04488778,colon,large intestine goblet cell,3,961,3,961,-0.0009578544,-0.04488778,False,False,False,292
CDH1,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0013892748,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.047348484,True,False,False,293
TMEFF2,GRPR,AND,18,0.0,0.0,0.013021282,0.0,0.008888889,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.047348484,True,False,False,294
CEACAM5,DLL3,AND,18,0.0,0.0,0.0,0.0,0.0,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.0,-0.05,True,False,False,295
PSCA,DLL3,AND,18,0.0,0.0,0.0093186805,0.0,0.0042643924,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.0,-0.05,True,False,False,296
CEACAM5,CD70,AND,18,0.0,0.0,0.0,0.0,0.0003713331,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.0,-0.05,True,False,False,297
EPCAM,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0019449848,0.053030305,endocrine gland,neuro-medullary thymic epithelial cell,0.053030305,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.053030305,True,False,False,298
CD276,DLL3,AND,18,0.0,0.0,0.012975819,0.0,0.0102739725,0.05348432,uterus,ciliated epithelial cell,0.05348432,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.05348432,True,False,False,299
DLL3,MUC1,AND,18,0.0,0.0,0.003669535,0.00018566655,0.0051020407,0.05348432,uterus,ciliated epithelial cell,0.05348432,uterus,ciliated epithelial cell,2,317,2,317,-0.00018566655,-0.05348432,True,False,False,300
MSLN,KLK3,AND,18,0.0,0.0,0.0043170834,0.009571255,0.08181818,0.16414142,prostate gland,basal cell of prostate epithelium,0.05824268,exocrine gland,duct epithelial cell,4,3825,3,3440,-0.009571255,-0.05824268,False,False,False,301
STEAP4,DLL3,AND,18,0.0,0.015565135,0.02928644,0.0,0.035555556,0.07631579,tongue,taste receptor cell,0.07631579,tongue,taste receptor cell,2,29,2,29,0.015565135,-0.060750656,True,False,False,302
CD70,ERBB2,AND,18,0.0,0.0,0.0022167214,0.0,0.0046875,0.062195122,uterus,ciliated epithelial cell,0.062195122,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.062195122,True,False,False,303
STEAP4,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.003125,0.06439394,endocrine gland,neuro-medullary thymic epithelial cell,0.06439394,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.06439394,True,False,False,304
CD70,MME,AND,18,0.0,0.0,0.0015003574,0.0,0.006849315,0.064935066,endocrine gland,thymic fibroblast type 2,0.064935066,endocrine gland,thymic fibroblast type 2,5,3230,5,3230,0.0,-0.064935066,True,False,False,305
EPCAM,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.0046875,0.065679446,uterus,ciliated epithelial cell,0.065679446,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.065679446,True,False,False,306
CD276,CD70,AND,18,0.0,0.0,0.00010622477,0.0,0.0034246575,0.065708645,exocrine gland,adventitial cell,0.065708645,exocrine gland,adventitial cell,2,321,2,321,0.0,-0.065708645,True,False,False,307
GRPR,FOLR1,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.06666667,eye,retinal pigment epithelial cell,0.06666667,eye,retinal pigment epithelial cell,2,64,2,64,0.0,-0.06666667,True,False,False,308
CD70,MUC1,AND,18,0.0,0.0,0.00010622477,0.0,0.0033057851,0.06666667,skin of body,plasma cell,0.06666667,skin of body,plasma cell,2,80,2,80,0.0,-0.06666667,True,False,False,309
CDH16,MUC1,AND,18,0.0,0.0,0.00013071895,0.0,0.00079176563,0.06817654,uterus,ciliated epithelial cell,0.06817654,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.06817654,True,False,False,310
TMEFF2,CD70,AND,18,0.0,0.0,0.001326408,0.0,0.0019157088,0.071969695,endocrine gland,neuro-medullary thymic epithelial cell,0.071969695,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.071969695,True,False,False,311
FOLH1,MSLN,AND,18,0.0,0.0,0.0031238135,0.0,0.0051020407,0.08,respiratory system,basal cell,0.08,respiratory system,basal cell,5,10003,5,10003,0.0,-0.08,True,False,False,312
STEAP2,GRPR,AND,18,0.0,0.0,0.01712582,0.0,0.008888889,0.087584466,pancreas,pancreatic acinar cell,0.087584466,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.087584466,True,False,False,313
TMPRSS2,CDH16,AND,18,0.0,0.0,0.00030853593,0.0,0.03448276,0.09275363,small intestine,paneth cell of epithelium of small intestine,0.09275363,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.09275363,True,False,False,314
CD70,DLL3,AND,18,0.0,0.0,0.0,0.0,0.0,0.1,tongue,taste receptor cell,0.1,tongue,taste receptor cell,2,29,2,29,0.0,-0.1,True,False,False,315
NECTIN4,CD70,AND,18,0.0,0.0,0.0014630015,0.0,0.0015625,0.1,tongue,taste receptor cell,0.1,tongue,taste receptor cell,2,29,2,29,0.0,-0.1,True,False,False,316
FOLR1,KLK3,AND,18,0.0,0.0,0.0031364472,0.011844414,0.06004619,0.1,exocrine gland,ionocyte,0.1,exocrine gland,ionocyte,3,139,3,139,-0.011844414,-0.1,False,False,False,317
FOLH1,CDH16,AND,18,0.0,0.0,7.159221e-05,0.0,0.0023094688,0.104347825,small intestine,paneth cell of epithelium of small intestine,0.104347825,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.104347825,True,False,False,318
GRPR,CD276,AND,18,0.0,0.0,0.008969616,0.0,0.0,0.10706632,pancreas,pancreatic acinar cell,0.10706632,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.10706632,True,False,False,319
MME,CDH16,AND,18,0.0,0.0,0.00010622477,0.0,0.03448276,0.10724638,small intestine,paneth cell of epithelium of small intestine,0.10724638,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.10724638,True,False,False,320
EPCAM,CDH16,AND,18,0.0,0.0,0.00030853593,0.0,0.03448276,0.10724638,small intestine,paneth cell of epithelium of small intestine,0.10724638,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.10724638,True,False,False,321
MME,FOLR1,AND,18,0.0,0.0,0.0012397119,0.014547988,0.06896552,0.1111377,lung,macrophage,0.1111377,lung,macrophage,4,16341,4,16341,-0.014547988,-0.1111377,True,False,False,322
TMEFF2,MUC1,AND,18,0.0,0.022246271,0.033353776,0.0012004948,0.015957447,0.13695867,lung,pulmonary alveolar type 1 cell,0.13695867,lung,pulmonary alveolar type 1 cell,4,3046,4,3046,0.021045776,-0.1147124,True,False,False,323
TMEFF2,MSLN,AND,18,0.0,0.0,0.0023958997,0.0,0.0051020407,0.11764706,musculature,epithelial cell,0.11764706,musculature,epithelial cell,2,48,2,48,0.0,-0.11764706,True,False,False,324
ADAM9,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.12490754,tongue,stratified squamous epithelial cell,0.12490754,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.12490754,True,False,False,325
ADAM9,CD70,AND,18,0.0,0.0,0.0018231448,0.0,0.006849315,0.12631579,tongue,taste receptor cell,0.12631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.12631579,True,False,False,326
CDH1,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.003717472,0.12631579,tongue,taste receptor cell,0.12631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.12631579,True,False,False,327
TMEFF2,FOLR1,AND,18,0.0,0.0,0.00046943242,0.0,0.005319149,0.1300546,lung,pulmonary alveolar type 1 cell,0.1300546,lung,pulmonary alveolar type 1 cell,4,3046,4,3046,0.0,-0.1300546,True,False,False,328
GRPR,ADAM9,AND,18,0.0,0.0,0.012235509,0.0,0.008888889,0.14481483,pancreas,pancreatic acinar cell,0.14481483,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.14481483,True,False,False,329
DLL3,ERBB2,AND,18,0.0,0.0050747865,0.015120981,0.0015247703,0.01369863,0.15,tongue,taste receptor cell,0.15,tongue,taste receptor cell,2,29,2,29,0.0035500163,-0.14492522,True,False,False,330
ADAM9,DLL3,AND,18,0.0,0.0046296297,0.024246413,0.00088399055,0.026666667,0.15,tongue,taste receptor cell,0.15,tongue,taste receptor cell,2,29,2,29,0.0037456392,-0.14537038,True,False,False,331
FOLH1,CEACAM5,AND,18,0.0,0.0,0.0014925828,0.0,0.003125,0.14925373,respiratory system,mucus secreting cell,0.14925373,respiratory system,mucus secreting cell,5,269,5,269,0.0,-0.14925373,True,False,False,332
TACSTD2,CD70,AND,18,0.0,0.0,0.002357333,0.0,0.006849315,0.15178572,tongue,regulatory T cell,0.15178572,tongue,regulatory T cell,2,88,2,88,0.0,-0.15178572,True,False,False,333
CEACAM5,FOLR1,AND,18,0.0,0.0,0.0011111111,0.0,0.01847575,0.15441394,lung,club cell,0.15441394,lung,club cell,4,1722,4,1722,0.0,-0.15441394,True,False,False,334
GRPR,ERBB2,AND,18,0.0,0.0,0.010745342,0.0,0.0044444446,0.1545309,pancreas,pancreatic acinar cell,0.1545309,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.1545309,True,False,False,335
MME,MSLN,AND,18,0.0,0.0,0.0013901116,0.009326477,0.09090909,0.20875303,prostate gland,basal cell of prostate epithelium,0.15934066,small intestine,"BEST4+ intestinal epithelial cell, human",5,877,3,3440,-0.009326477,-0.15934066,True,False,False,336
CEACAM5,CD276,AND,18,0.0,0.0,0.0028138068,0.0,0.016166281,0.16666667,respiratory system,basal cell,0.16666667,respiratory system,basal cell,5,10003,5,10003,0.0,-0.16666667,True,False,False,337
CD276,MSLN,AND,18,0.0,0.0,0.0010646692,0.0055617355,0.043879908,0.17559524,respiratory system,basal cell,0.17559524,respiratory system,basal cell,5,10003,5,10003,-0.0055617355,-0.17559524,True,False,False,338
TACSTD2,DLL3,AND,18,0.0,0.018620688,0.02963283,0.0039322414,0.04,0.2,tongue,taste receptor cell,0.2,tongue,taste receptor cell,2,29,2,29,0.014688447,-0.18137932,True,False,False,339
