marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,both_surface,on_frontier_all,on_frontier_surface,rank_surface
STEAP1,TMPRSS2,AND,18,0.6998159348964691,0.84336674,0.8354623,0.24520615,0.49834985,0.67228913,prostate gland,luminal cell of prostate epithelium,0.4006279,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5981606,0.44273883,True,False,False,34
STEAP1,TACSTD2,AND,18,0.6886153995990754,0.83697397,0.80343926,0.34917158,0.5445545,0.5677108,prostate gland,luminal cell of prostate epithelium,0.4893328,lung,respiratory goblet cell,4,978,3,10277,0.4878024,0.34764117,True,False,False,35
STEAP1,EPCAM,AND,18,0.6673246264457703,0.8500061,0.8183596,0.29955268,0.48514852,0.4939759,prostate gland,luminal cell of prostate epithelium,0.4651635,lung,respiratory goblet cell,4,978,3,10277,0.5504534,0.3848426,True,False,False,36
STEAP1,SLC45A3,AND,18,0.6490608930587769,0.82508934,0.8040747,0.11959301,0.4719472,0.4871795,prostate gland,luminal cell of prostate epithelium,0.039315574,liver,hepatocyte,4,7400,3,10277,0.7054963,0.78577375,True,False,False,37
STEAP4,KLK3,AND,18,0.6346547901630402,0.7547476,0.7747767,0.16819835,0.63555557,0.5681928,prostate gland,luminal cell of prostate epithelium,0.075382754,exocrine gland,duct epithelial cell,4,3825,3,10277,0.5865493,0.67936486,False,False,False,38
STEAP4,KLK2,AND,18,0.6318312644958496,0.7633683,0.7751504,0.17279908,0.6488889,0.5262651,prostate gland,luminal cell of prostate epithelium,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.59056926,0.7463229,False,False,False,39
STEAP4,TMPRSS2,AND,18,0.6284967541694642,0.75992846,0.754483,0.20920548,0.4977778,0.7106261,lung,pulmonary alveolar type 2 cell,0.7106261,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.55072296,0.04930234,True,False,False,40
STEAP2,STEAP4,AND,18,0.6226428925991059,0.74750125,0.7647225,0.18820721,0.60444444,0.56096387,prostate gland,luminal cell of prostate epithelium,0.5164285,lung,respiratory goblet cell,4,978,3,10277,0.55929404,0.23107278,True,False,False,41
STEAP4,SLC45A3,AND,18,0.5955032885074616,0.7069836,0.7231248,0.102532454,0.41777778,0.3846154,prostate gland,luminal cell of prostate epithelium,0.045361914,vasculature,pericyte,4,1026,3,10277,0.6044512,0.6616217,True,False,False,42
CDH1,KLK2,AND,18,0.5864957511425019,0.80450404,0.7723067,0.2298221,0.54789275,0.6948718,prostate gland,luminal cell of prostate epithelium,0.02631579,tongue,taste receptor cell,2,29,3,10277,0.57468194,0.7781882,False,False,False,43
CDH1,KLK3,AND,18,0.5864957511425019,0.8034035,0.772499,0.21033499,0.5280528,0.77692306,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.5930685,0.6367368,False,False,False,44
STEAP2,CDH1,AND,18,0.5782584846019745,0.79834056,0.755785,0.26462483,0.50165015,0.8313253,prostate gland,luminal cell of prostate epithelium,0.636322,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5337157,0.16201854,True,False,False,45
ADAM9,KLK2,AND,18,0.5747050523757935,0.6324047,0.65947497,0.1746092,0.40421456,0.5903614,prostate gland,luminal cell of prostate epithelium,0.051883023,uterus,fibroblast,2,6311,3,10277,0.4577955,0.58052164,False,False,False,46
STEAP4,TACSTD2,AND,18,0.5694117903709411,0.7073815,0.7285085,0.22888596,0.41777778,0.8144189,lung,respiratory goblet cell,0.8144189,lung,respiratory goblet cell,4,978,4,978,0.47849554,-0.107037425,True,False,False,47
STEAP2,ADAM9,AND,18,0.563034200668335,0.6241026,0.650079,0.18623257,0.36,0.62361443,prostate gland,luminal cell of prostate epithelium,0.57978976,bladder organ,bladder urothelial cell,6,26663,3,10277,0.43787003,0.044312835,True,False,False,48
ADAM9,KLK3,AND,18,0.5618216216564178,0.6282871,0.6568227,0.17084163,0.38314176,0.64122134,prostate gland,macrophage,0.121380605,exocrine gland,duct epithelial cell,4,3825,3,1022,0.45744544,0.50690645,False,False,False,49
STEAP4,EPCAM,AND,18,0.5588567316532135,0.7150738,0.72911626,0.21059114,0.40888888,0.77449083,lung,respiratory goblet cell,0.77449083,lung,respiratory goblet cell,4,978,4,978,0.5044827,-0.05941701,True,False,False,50
STEAP1,CDH1,AND,18,0.55695139169693,0.7405002,0.7024208,0.23567025,0.46534654,0.66361445,prostate gland,luminal cell of prostate epithelium,0.4547996,lung,respiratory goblet cell,4,978,3,10277,0.50482994,0.28570062,True,False,False,51
TMPRSS2,CDH1,AND,18,0.5550427615642548,0.74799836,0.7478435,0.2484402,0.49174917,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.49955815,-0.14673847,True,False,False,52
STEAP4,CD46,AND,18,0.5489636123180389,0.74184227,0.74061346,0.23770621,0.45333335,0.7941321,lung,pulmonary alveolar type 2 cell,0.7941321,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.5041361,-0.052289844,True,False,False,53
HPN,KLK3,AND,18,0.5482803344726562,0.70343435,0.6877868,0.058813915,0.3911111,0.24615385,prostate gland,luminal cell of prostate epithelium,0.008540502,exocrine gland,duct epithelial cell,4,3825,3,10277,0.6446204,0.69489384,False,False,False,54
SLC45A3,CDH1,AND,18,0.5458476662635803,0.7257408,0.7133411,0.10980284,0.46864685,0.5051282,prostate gland,luminal cell of prostate epithelium,0.14285715,stomach,epithelial cell,3,1596,3,10277,0.61593795,0.58288366,True,False,False,55
EPCAM,CDH1,AND,18,0.5441133677959442,0.8023088,0.7377853,0.31568104,0.5804598,0.9681159,small intestine,paneth cell of epithelium of small intestine,0.9681159,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.48662776,-0.16580713,True,False,False,56
HPN,KLK2,AND,18,0.5433391749858856,0.70343435,0.686747,0.060514074,0.3911111,0.24102564,prostate gland,luminal cell of prostate epithelium,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.64292026,0.6920707,False,False,False,57
CDH1,CD46,AND,18,0.541558301448822,0.78535354,0.74927926,0.34372824,0.60536397,0.9418148,bladder organ,bladder urothelial cell,0.9418148,bladder organ,bladder urothelial cell,6,26663,6,26663,0.4416253,-0.15646124,True,False,False,58
HPN,TMPRSS2,AND,18,0.5386032640933991,0.68848485,0.66942066,0.069638334,0.31111112,0.5831559,pancreas,pancreatic acinar cell,0.5831559,pancreas,pancreatic acinar cell,2,5482,2,5482,0.61884654,0.10532898,True,False,False,59
TMPRSS2,ADAM9,AND,18,0.5251153975725174,0.621022,0.6423183,0.16555873,0.37356323,0.8780488,respiratory system,mucus secreting cell,0.8780488,respiratory system,mucus secreting cell,5,269,5,269,0.45546326,-0.2570268,True,False,False,60
STEAP2,HPN,AND,18,0.5237797439098358,0.68848485,0.6769597,0.067239255,0.37777779,0.24871795,prostate gland,luminal cell of prostate epithelium,0.23038961,pancreas,type B pancreatic cell,2,102,3,10277,0.6212456,0.45809525,True,False,False,61
STEAP1,STEAP4,AND,18,0.5235070139169693,0.7402549,0.7067265,0.16820753,0.4977778,0.46650603,prostate gland,luminal cell of prostate epithelium,0.41342956,lung,respiratory goblet cell,4,978,3,10277,0.57204735,0.32682532,True,False,False,62
SLC45A3,ADAM9,AND,18,0.5230543136596679,0.6023276,0.6217618,0.0756254,0.31023103,0.45897436,prostate gland,luminal cell of prostate epithelium,0.22222222,respiratory system,mast cell,3,115,3,10277,0.52670217,0.38010538,True,False,False,63
TACSTD2,CDH1,AND,18,0.5210726469755173,0.78616214,0.7294055,0.36740845,0.58429116,0.9578472,eye,corneal epithelial cell,0.9578472,eye,corneal epithelial cell,3,4179,3,4179,0.41875368,-0.17168504,True,False,False,64
HPN,CD46,AND,18,0.5066778749227524,0.6767677,0.65525824,0.090627685,0.28,0.61627233,pancreas,pancreatic acinar cell,0.61627233,pancreas,pancreatic acinar cell,2,5482,2,5482,0.58614004,0.060495377,True,False,False,65
CD46,ADAM9,AND,18,0.5055555760860443,0.61843336,0.6418931,0.2674296,0.46551725,0.9166667,respiratory system,mucus secreting cell,0.9166667,respiratory system,mucus secreting cell,5,269,5,269,0.35100377,-0.29823333,True,False,False,66
HPN,EPCAM,AND,18,0.5055243521928787,0.66570514,0.6573902,0.08326644,0.27555555,0.61259353,pancreas,pancreatic acinar cell,0.61259353,pancreas,pancreatic acinar cell,2,5482,2,5482,0.5824387,0.053111613,True,False,False,67
HPN,TACSTD2,AND,18,0.5003039509057998,0.6625,0.6491863,0.097997636,0.24,0.43678093,pancreas,pancreatic acinar cell,0.43678093,pancreas,pancreatic acinar cell,2,5482,2,5482,0.56450236,0.2257191,True,False,False,68
FOLH1,KLK2,AND,18,0.4959707170724869,0.7304324,0.72041625,0.095961146,0.7022222,0.5589744,prostate gland,luminal cell of prostate epithelium,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.63447124,0.7247506,False,False,False,69
FOLH1,KLK3,AND,18,0.4959707170724869,0.7304324,0.7220919,0.09348181,0.7111111,0.57179487,prostate gland,luminal cell of prostate epithelium,0.006479214,exocrine gland,duct epithelial cell,4,3825,3,10277,0.6369506,0.7239532,False,False,False,70
SLC45A3,HPN,AND,18,0.4858473122119903,0.6353846,0.6398257,0.036363635,0.24444444,0.22307692,prostate gland,luminal cell of prostate epithelium,0.097865835,liver,hepatocyte,4,7400,3,10277,0.59902096,0.5375188,True,False,False,71
FOLH1,STEAP2,AND,18,0.4844780176877976,0.72646415,0.71068037,0.09115643,0.6711111,0.5820513,prostate gland,luminal cell of prostate epithelium,0.31578946,respiratory system,mucus secreting cell,5,269,3,10277,0.6353077,0.4106747,True,False,False,72
FOLH1,SLC45A3,AND,18,0.4825091689825058,0.67056274,0.67654014,0.08094748,0.4311111,0.4923077,prostate gland,luminal cell of prostate epithelium,0.05263158,small intestine,paneth cell of epithelium of small intestine,5,1657,3,10277,0.5896153,0.6179312,True,False,False,73
TACSTD2,ADAM9,AND,18,0.4819444477558136,0.602353,0.62271935,0.27689752,0.4559387,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.32545546,-0.34501547,True,False,False,74
STEAP4,CDH1,AND,18,0.4805882424116134,0.62217927,0.627548,0.18787831,0.32343236,0.77218866,lung,pulmonary alveolar type 2 cell,0.77218866,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.43430096,-0.1500094,True,False,False,75
STEAP1,HPN,AND,18,0.4758865267038345,0.64734924,0.636146,0.06336045,0.3288889,0.2106024,prostate gland,luminal cell of prostate epithelium,0.16628249,liver,hepatocyte,4,7400,3,10277,0.5839888,0.48106676,True,False,False,76
EPCAM,ADAM9,AND,18,0.4743923991918564,0.625384,0.6296628,0.22131683,0.44252872,0.9268293,respiratory system,mucus secreting cell,0.9268293,respiratory system,mucus secreting cell,5,269,5,269,0.40406716,-0.3014453,True,False,False,77
FOLH1,TMPRSS2,AND,18,0.4732600957155228,0.73508483,0.7009976,0.094516516,0.52444446,0.68512094,small intestine,enterocyte of epithelium proper of duodenum,0.68512094,small intestine,enterocyte of epithelium proper of duodenum,4,13488,4,13488,0.6405683,0.04996389,True,False,False,78
FOLH1,CD46,AND,18,0.4679487198591233,0.73111653,0.6882131,0.09437658,0.51555556,0.7576271,small intestine,paneth cell of epithelium of small intestine,0.7576271,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.63673997,-0.026510596,True,False,False,79
STEAP1,ADAM9,AND,18,0.4608974277973175,0.59763515,0.6035572,0.17387335,0.31555554,0.5257831,prostate gland,luminal cell of prostate epithelium,0.423365,lung,respiratory goblet cell,4,978,3,10277,0.42376179,0.17427015,True,False,False,80
FOLH1,STEAP1,AND,18,0.449725267291069,0.6872707,0.65893745,0.086097404,0.5644444,0.5166265,prostate gland,luminal cell of prostate epithelium,0.16666667,respiratory system,mucus secreting cell,5,269,3,10277,0.6011733,0.520604,True,False,False,81
FOLH1,TACSTD2,AND,18,0.4385073244571686,0.71320343,0.6740639,0.092207044,0.43555555,0.4795181,prostate gland,luminal cell of prostate epithelium,0.41463414,respiratory system,mucus secreting cell,5,269,3,10277,0.62099636,0.2985693,True,False,False,82
FOLH1,EPCAM,AND,18,0.4365384548902511,0.72168356,0.6721623,0.085982636,0.46666667,0.8338983,small intestine,paneth cell of epithelium of small intestine,0.8338983,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.63570094,-0.112214744,True,False,False,83
CDH1,ADAM9,AND,18,0.4153846204280853,0.5543735,0.5575827,0.17725995,0.4099617,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.37711355,-0.39299494,True,False,False,84
HPN,CDH1,AND,18,0.4073961585760117,0.5643236,0.559139,0.06522977,0.1578125,0.6374949,pancreas,pancreatic acinar cell,0.6374949,pancreas,pancreatic acinar cell,2,5482,2,5482,0.49909383,-0.07317132,True,False,False,85
STEAP4,ADAM9,AND,18,0.3992307752370834,0.53810596,0.5562472,0.13779786,0.31555554,0.70731705,respiratory system,mucus secreting cell,0.70731705,respiratory system,mucus secreting cell,5,269,5,269,0.4003081,-0.16921109,True,False,False,86
FOLH1,CDH1,AND,18,0.3653388366103172,0.59786326,0.5785024,0.08219841,0.339934,0.7884058,small intestine,paneth cell of epithelium of small intestine,0.7884058,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.5156648,-0.19054252,True,False,False,87
STEAP4,HPN,AND,18,0.3632941275835037,0.57259184,0.5646272,0.045073643,0.2888889,0.47576505,lung,pulmonary alveolar type 2 cell,0.47576505,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.5275182,0.09682679,True,False,False,88
FOLH1,STEAP4,AND,18,0.3561904847621918,0.5915792,0.59096205,0.06995322,0.56,0.4173494,prostate gland,luminal cell of prostate epithelium,0.31707317,respiratory system,mucus secreting cell,5,269,3,10277,0.521626,0.27450603,True,False,False,89
HPN,ADAM9,AND,18,0.3213747918605804,0.47727275,0.4862653,0.045881215,0.19555555,0.3564912,lung,pulmonary alveolar type 2 cell,0.3564912,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.43139154,0.12078154,True,False,False,90
ERBB2,KLK2,AND,18,0.3167024552822113,0.4600041,0.5011222,0.17131329,0.49233717,0.5710843,prostate gland,luminal cell of prostate epithelium,0.033333335,lymph node,endothelial cell,4,126,3,10277,0.2886908,0.42667076,False,False,False,91
ERBB2,KLK3,AND,18,0.3167024552822113,0.4657383,0.501293,0.16973731,0.45785442,0.62650603,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.296001,0.2990716,False,False,False,92
STEAP2,ERBB2,AND,18,0.3021179631352425,0.44418347,0.49206835,0.19179179,0.39655173,0.61060244,prostate gland,luminal cell of prostate epithelium,0.43589425,bladder organ,bladder urothelial cell,6,26663,3,10277,0.2523917,0.008289218,True,False,False,93
TACSTD2,ERBB2,AND,18,0.2979487255215645,0.45482177,0.48265103,0.30540782,0.5334873,0.7138756,lung,club cell,0.7138756,lung,club cell,4,1722,4,1722,0.14941394,-0.25905383,True,False,False,94
CD46,ERBB2,AND,18,0.2914529994130135,0.46743727,0.4906931,0.2768547,0.5555556,0.69063604,lung,club cell,0.69063604,lung,club cell,4,1722,4,1722,0.19058257,-0.22319877,True,False,False,95
