activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate
CD70,CEACAM5,NOT,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.4347826,bladder organ,regulatory T cell,0.4347826,bladder organ,regulatory T cell,0.0,-0.4347826
STEAP4,ADAM9,NOT,18,0.09021621346473695,0.22813238,0.22398785,0.11533098,0.33777776,0.6666666,small intestine,pericyte,0.6666666,small intestine,pericyte,0.1128014,-0.43853426
TMEFF2,SLC45A3,NOT,18,0.0,0.013166994,0.017155707,0.0062469826,0.23111111,0.45185187,endocrine gland,neuro-medullary thymic epithelial cell,0.45185187,endocrine gland,neuro-medullary thymic epithelial cell,0.0069200112,-0.43868488
ADAM9,PSCA,NOT,18,0.24288889169692995,0.48880106,0.4627482,0.21788046,0.37777779,0.9285714,pancreas,intermediate monocyte,0.9285714,pancreas,intermediate monocyte,0.2709206,-0.43977034
EPCAM,CDH1,NOT,18,0.0934889554977417,0.15331888,0.18188432,0.22848405,0.36,0.59375,testis,spermatogonium,0.59375,testis,spermatogonium,-0.07516517,-0.44043112
SLC45A3,CDH1,NOT,18,0.08381689190864564,0.16333336,0.18548995,0.053672694,0.31555554,0.6097561,blood,basophil,0.6097561,blood,basophil,0.10966066,-0.44642276
MUC1,EPCAM,NOT,18,0.0,0.0009560138,0.0068996227,0.038567614,0.15363127,0.4478528,respiratory system,serous cell of epithelium of trachea,0.4478528,respiratory system,serous cell of epithelium of trachea,-0.0376116,-0.4468968
CD46,ERBB2,NOT,18,0.2370475709438324,0.46420127,0.44346863,0.35801232,0.5644444,0.9166667,pancreas,pancreatic A cell,0.9166667,pancreas,pancreatic A cell,0.10618895,-0.45246542
TMEFF2,STEAP1,NOT,18,0.012766967713832856,0.020516258,0.033356633,0.003545077,0.106666684,0.4740741,endocrine gland,neuro-medullary thymic epithelial cell,0.4740741,endocrine gland,neuro-medullary thymic epithelial cell,0.01697118,-0.45355785
CDH1,ERBB2,NOT,18,0.17773667573928834,0.36451048,0.33603895,0.2218366,0.31034485,0.8181818,colon,paneth cell of colon,0.8181818,colon,paneth cell of colon,0.14267388,-0.45367134
